updatedtimestamp,applicationid,countryname,vipsysname,currencysysname,p_date,gamename,providername,manufacturername,turnover,returns,ggr
2025-10-29 04:53:40.672,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2025-10-28,OR_ENDOR_3_WITCH_POTS,Oryx,Endorphina,10.819268292639286,1.5863238723458193,35.59266342514728
2025-07-22 10:35:55.115,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2025-05-27,PP_vs1masterjoker,PragmaticPlay,PragmaticPlay,3.906041074323483,2.6461672284652256,7.932058668183814
2026-01-02 04:55:48.755,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2026-01-01,OR_PLS_KING_OF_THE_SKY_HIT_THE_BONUS,Oryx,Playson,37.55867483828643,718.7417177515102,678.3403754869668
2025-07-22 10:35:55.115,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2025-07-04,PT_nov_gpas_kgomoonpp_pop,PlayTech,PlayTech,5.749177722671694,0.9944808262758897,24.91332215252118
2026-01-10 04:56:00.205,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2026-01-09,MGS_hyperGold,MicroGaming,GameburgerStudios,20.51125589168834,10.22149488921526,29.507070249077298
2025-07-22 10:35:55.115,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2025-07-04,PT_nov_gpas_fbgbb_pop,PlayTech,PlayTech,17.331283126693148,2.459731656128652,23.150055745889215
2025-07-22 10:35:55.115,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2025-06-25,RLX_templetumble,RelaxGaming,RelaxGaming,73.88136558182342,20.30655725200022,63.17283207563414
2025-07-22 10:35:55.115,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2025-01-06,PP_vs10bhallbnza2,PragmaticPlay,PragmaticPlay,29.425115206762122,9.565499045810707,26.488876219789795
2026-01-17 04:53:45.97,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,UNKNOWN,NZD,2026-01-16,OR_ENDOR_CROWN_COINS,Oryx,Endorphina,20.49326102556281,30.276647193303774,59.79820440769696
2025-07-22 10:35:55.115,3005A902-4595-49E8-B978-6AAF4FB56BA0,New Zealand,POTENTIAL,NZD,2025-06-20,PNG_333,PlayNGo,PlayNGo,-11.855548540487936,577.6868257889872,665.7214273219222
